CodigoProducto,NombreProducto,Periodo
PROD1,Monitor UltraWide 34,2025-06
PROD_B002,Silla Ergonómica Pro,2025-06
PROD_B003,Escritorio de Pie Eléctrico,2025-06
PROD_B004,Lámpara LED con Carga Qi,2025-06
PROD_B005,Hub USB-C 10 en 1,2025-06
PROD_B006,Cámara Web 4K Pro,2025-06
PROD_B007,Micrófono de Condensador,2025-06
PROD_B008,Brazo para Monitor Dual,2025-06
PROD_B009,Alfombrilla XL Térmica,2025-06
PROD_B010,Teclado Mecánico RGB,2025-06
PROD_B011,Mouse Vertical Inalámbrico,2025-06
PROD_B012,Auriculares con Cancelación de Ruido,2025-06
PROD_B013,Disco Duro Externo 5TB,2025-06
PROD_B014,Tarjeta de Memoria 256GB,2025-06
PROD_B015,Trípode para Cámara,2025-06
PROD_B016,Luz Circular para Streaming,2025-06
PROD_B017,Soporte para Portátil Ajustable,2025-06
PROD_B018,Organizador de Cables Pro,2025-06
PROD_B019,Mini PC Servidor,2025-06
PROD_B020,Router Gaming WiFi 6,2025-06
PROD_B021,Repetidor de Señal Pro,2025-06
PROD_B022,Switch Gigabit 8 Puertos,2025-06
PROD_B023,SAI / UPS 1500VA,2025-06
PROD_B024,Regleta Inteligente WiFi,2025-06
PROD_B025,Adaptador Bluetooth 5.3,2025-06
PROD_B026,Tarjeta de Red 10Gbps,2025-06
PROD_B027,Gabinete Micro-ATX,2025-06
PROD_B028,Fuente de Alimentación 850W,2025-06
PROD_B029,Kit de Refrigeración Líquida,2025-06
PROD_B030,Pasta Térmica de Plata,2025-06
